id,comment
333,監察 医 制度 が ある 東京 都 だ から こそ 死因 が 突き止め ら た 事案 
334,殺さ なく て も 離婚 すれ ば いい のに と 思う の は 私 が 凡人 だ から だろ う か … 
335,嫌 なら 離婚 。 
335,余計 な こと する から 逮捕 さ れる 。 
336,輝かしい 学歴 、 頭 も よい の だろ う 。 
336,でも 、 行為 は 稚拙 。 
336,動機 が 気 に なる 。 
337,そんな 開発 する ほど 優秀 なら よ せけ んで 騒がし てる コロナ の 特効薬 で も 開発 し て くれ よ 
338,見出し で 夫 は 新薬 開発 担当 とか 煽る から どんな 毒殺 事件 か と 思え ば メタノール か よ ！ 
339,一流 製薬 会社 の 研究 員 なら もっと 違う 薬物 使え なかっ た の か ？ 
339,不思議 
340,もし ワイン に 混入 だっ たら 第 二 の 毒 葡萄 酒 事件 。 
341,い ゃ 折角 なら 違う 意味 で 、 天 に も 昇る 薬 を 作れ ば 。 
341,と 
342,1 と 3 が 入っ て ます ね 。 
342,怪しい 事件 です 。 
343,犯人 は 旦那 だ ！ 
343,間違い ない ！ 
344,保険 金 目当て 。 
344,メタノール は 工業 用 アルコール で 猛毒 。 
344,たまに ロシア で 飲ま れ てる が ・ ・ (-_-;) 
345,退職 し た 奥さん の 方 が 優秀 だっ たら 皮肉 だ ね 。 
345,子供 も かわいそう だ 。 
346,さすが に 誤認 逮捕 じゃ ない か ？ 
346,統合 失調 症 に も 見え ない し 
347,絵 に 描い た よう な エリート カップル 。 
347,殺し たい ほど の 何 か が あっ た ん です ね 。 
348,最高 学歴 の 　 夫婦 に 何 が 。 。 。 
348,あっ た ん だ 。 。 。 
348,殺す くらい の 　 動機 って なに ？ 
349,なんで 簡単 に ばれる 薬品 使う か ね 。 
349,そして 40 歳 で あの 髪型 を どう とらえ たら いい の か 。 
350,小学生 の 長男 が 心配 周り の 大人 に ケア し て もらえ ます よう に 
351,見 た 感じ 
351,イケメン だ から 他 に いい 女 を 見つけ て 奥さん が 邪魔 に なっ た ん でしょ う か ？ 
352,本当に メタノール ？ 
352,バレ バレ やん 
352,あまりに も 安易 。 
353,なんだか 科捜研 の ドラマ に あり そう な 事件 。 
354,この 髪型 は 確実 に 誤魔化し てる だろ 。 
354,本当は 髪 が 生える 薬 の 研究 し たかっ た ん じゃ ない か 。 
355,また 冤罪 か 日本 の 警察 は トロ い から な 功 を 焦っ て 何 を しでかす か 分から ない から 怖 過ぎる 
356,ドラマ か 小説 の 中 で 済ませ て 欲しい 、 スキル の 悪用 し て 犯罪 は 虚しい 
357,2017 に 結婚 2018 ～ 2020 まで 海外 家 で ずっと 一緒 に い て 、 そろそろ イヤ に なっ て き た 頃 ？ 
358,夫婦 で 高学歴 だ と 難しい の か ね 。 
358,子供 が 気の毒 
359,まだ 認め た わけ じゃ ない でしょ う 。 
359,人殺し 扱い は ひど すぎる 。 
360,サイコパス か こいつ ？ 
360,博士 号 だの 薬学 の 知識 だの 全然 関係 無い 。 
360,メタノール の 毒性 なんて 誰 でも 知っ てる 。 
360,こんな の が 製薬 会社 で 働い て い た こと が 恐ろしい 。 
361,自殺 偽装 で は なく 病死 偽装 な の ？ 
361,メタノール 飲ま せ たら バレる の アホ で も わかる よ な 。 
361,入手 先 も すぐ わかる だろ う 。 
362,新薬 の 実験 台 に さ れ た わけ じゃ なく ？ 
363,子供 が い て 毒殺 する って 背景 に 何 が ある か 気 に なる 
364,経歴 だけ 見る と 優秀 。 
364,殺人 犯し て 全て が パー だ ね … 
365,妻 で ある ま え に 
365,我が 子 の 母親 で ある ま づ 　 容疑 者 の 鑑定 留置 を ... 
365,博士 と いえ ども 
365,精神 疾患 は 襲い ます 
366,詳細 と 本当に 殺害 か わから ない から なんとも 。 
367,何 か あっ た ん だろ う ね 
367,根 は 深 そう だ 
368,なんで 一服 盛っ ちまっ た ん だ 。 
368,ばれ ちゃっ た ね 。 
369,事実 なら 恐ろしい 。 
369,サイコパス だっ た の か ？ 
370,エリート で も なに しでかす か わから ん もん や な 。 
371,犯罪 者 は 色々 新手 を 考える の な 、 関心 する わ 
372,見た目 から し て 、 ｢ 
372,俺 か っけ え ｣ って 、 感じ や な 。 
372,不倫 でも し て たん じゃ ない ？ 
372,それ が 妻 に ばれ て 殺害 し た とか 
373,殺害 する くらい なら 離婚 すれ ば よかっ た のに 。 
373,何 が あっ た か わから ない けど バカ だ なぁ 。 
374,学歴 まで 出さ なく て も ー 。 
374,息子 さん かわいそう だ わ 。 
375,２ 時間 ドラマ の よう な 事件 
376,男性 版 木嶋 佳苗 に なり そこね た か ？ 
377,動機 が 今一つ わから ない です ね 
378,夫 は 殺害 を 否定 。 
378,これ は 治験 です 、 失敗 し た だけ です 。 
379,薬 の 知識 ある 人 が そんな 杜撰 な 方法 で 殺す かね ？ 
380,これ で 第 一 三共 ヘルスケア の 信用 も 地 に 落ち た な 。 
381,サスペンス だ な 実際 こんな 事件 が 起こる ん だ ね 
382,映画 の よう な 事 が 現実 に おこり ます ね 、 最近 の 犯罪 って … 
383,安い ドラマ の よう な 事件 だ 
384,小説 
384,現代 の 短編 に でも 載っ て そう な 事件 
385,超 エリート コース 
385,まっしぐら な のに 余程 奥さん が イヤ だっ だ の か ？ 
386,犯行 は ともかく 、 イケメン だ なぁ 。 
386,女 な トラブル か な ？ 
387,1 番 の 被害 者 は 子供 か な ？ 
388,あー 、 優秀 な 人 だっ た のに 何 が 狂っ て しまっ た ん でしょ う 。 
388,息子 さん が かわいそう で なり ませ ん 。 
389,子供 も 危なかっ た ね 。 
390,殺害 だ と し たら 、 薬品 の プロ と は 思え ない 手口 だ けど 、 、 、 
391,単に 別れれ ば いい のに 、 殺さ なく て も ・ ・ ・ 
392,他 に いい 女 が でき た の か な ？ 
392,動機 は 何 だろ ？ 
393,人命 を 助ける 仕事 な のに 。 
394,逮捕 ＝ 犯人 　 では ない から な 。 
395,怪 体 な やっ ちゃ な 。 
395,髪型 と いい 面 つき と いい 。 
396,母親 を 父親 に 毒殺 さ れ 、 残さ れ た お子さん が 不憫 で 可哀想 過ぎる 、 、 、 
397,頭 が 良い よう で 悪い ん だろ う な 、 、 、 バレる に 決まっ てる 
