,comment,label
34,なんで ？ ,1.0
35,何気ない 夫婦 や 親子 の 幸せ な ツイート が ああ いう 連中 に は 当て 付け や 嫌がらせ に 感じる だけ な の です おはよう と 挨拶 さ れ た だけ で 恋愛 感情 を 抱か れ てる と 思いこむ ストーカー と 同じ ぐらい 頭 か メンタル が おかしい だけ (    ° ω °) ,1.0
36,なるほど 、 そう 信じ たい ん です ね ,0.0
37,大きな 勘違い 。 ,0.0
38,こんな の に 騙さ れる 人 は い ない と 信じ たい 。 ,1.0
39,貴方 個人 の 感想 、 ワガママ で ディストピア 作ら れ ちゃ かなわ ん よ 。 ,0.0
40,そもそも 右翼 、 左翼 だけ で 区別 する 物 の 言い方 が 好き で は ない です ね 。 ,0.0
41,美し さ に対して の 嫉妬 、 妬み 、 僻み の 塊 ,1.0
42,"ジョージ さん の ツイート で いつも "" 言葉 "" を 学ん で ます 。 ",1.0
43,古 の オタク 。 ,0.0
44,もちろん 自分 も 望ん で 無い し 、 周り に 『 望ん で いる 日本人 』 は 居 ない よう です 。 ,1.0
45,わざと 名前 を 言い換え て 、 印象 操作 し て いる の は 事実 。 ,1.0
46,被害 者 面す ん な よ ,0.0
47,子孫 達 の ため に も ちゃんと 頭 で 考え て くれ 。 ,0.0
48,？ ,0.0
49,は ？ ,0.0
50,部署 違う から よく 知ら ん けど 。 ,1.0
51,いつも まだまだ って 思わ せ て くれる ,1.0
52,ある 界隈 の 人 たち って 、 「 本当に 」 だの 「 真 の 」 だ の が 大好き な の です ね … ,0.0
53,だ と し たら 貴方 に は 人 として 大事 な もの が 欠け て ます ね 。 ,0.0
54,やんわり 現代 の オタク を dis る ,0.0
55,だから その 五輪 貴族 の 実名 を 挙げ て ください 。 ,1.0
56,心 だけ で は なく 脳 ミソ も ない か 足り なく なっ て しまっ てる よう です ね 。 ,0.0
57,経験 も 知識 も 経済 力 も ない 似非 フェミ が 自分 の お 気持ち を 会社 に クレーム として 喚き 散らし て いる 。 ,0.0
58,ギャンブル の 為 の 口座 や アプリ を 勧める 人 が 言える 発言 で は あり ませ ん よ ,0.0
59,僕 、 こういう 頭 の 悪い 主張 は 嫌い だ けど 、 世の中 が こういう 意見 を 言え ない 環境 に は なっ て 欲しく ない と 言い 続ける よ 。 ,0.0
60,まだ 牢獄 に い ない の が 不思議 な くらい だ 。 ,0.0
61,戦争 終わっ た よう な もん でしょ う ？ ,1.0
62,議員 と 言う 役職 の 本来 の 仕事 を 知ら ない ん だ ね ,1.0
63,口論 し て たら 突然 吐く 人 も 怖い 。 ,0.0
64,(´ ・ ω ・ `)? ,0.0
65,そのまま 体 ごと 張り裂け て しまえ ,0.0
66,あっ ー 高専 差別 … ？ ,0.0
67,それ 自分 に も 刺さら ない ？ ,0.0
68,でも アメリカ だって トラムプ 支持 者 の 愛国 趣味 の 輩 は 似 た よう な もん だ から なぁー ,1.0
69,変革 により 気に入ら ない 古い 因習 よ 消えろ ！ ,1.0
70,違う 意見 を 受け られ ない の は 唯我独尊 で 最も 危険 な こと です ,0.0
71,言葉 の 力 って 良く も 悪く も すごい ある と 思う 。 ,1.0
72,数字 は 嘘 を つか ない が 嘘つき は 数字 を 使う ,0.0
73,上智 の ８ 割 は 知ら ない が 、 私大 は 底辺 大学 ほど 100 ％ に 近い 「 推薦 」 と なる 。 ,1.0
74,えー 無知 は 、 どちら ？ ,0.0
75,ちゃんと 裏付け とり ましょ ね ,0.0
76,「 9 割 」 の 論拠 が そもそも 不明 。 ,1.0
77,先ず は それ を やっ て から 文句 言えよ な w ,0.0
78,嫌 なら 外国 行き な 。 ,0.0
79,その ソース は どこ から ？ ,0.0
80,「 捕まっ たら 来週 の ジャンプ 読め ない じゃん 」 で 生き てる ,1.0
81,公文書 改竄 を 推奨 しろ って 事 脳 ミソ 沸騰 しとる ,0.0
82,こんな いい加減 な 記事 で 惑わさ れる 時点 で あり え ない と 思い ます 。 ,0.0
83,コレ が 本当 の Twitter 上 の 三 大 胡散臭い 主張 だ な ,1.0
84,たかが テレビ 見る の に こんなに 脳みそ こじらせ て か あい そう 、 か あいそ う 。 ,0.0
85,これ が オウム の サリン 事件 と 同一 に 見える の なら ば 医者 に 行く べき だ ,0.0
86,そんな ことし て たら 世の中 何 も 生み出さ ねぇ だろ 。 ,1.0
87,皆 で 等しく 貧乏 に なろ う よ って 間違っ た 共産 主義 な ん だ けど それ と 、 同じ よう に 見える 実力 ある ヤツ や 才能 に 溢れ たり 魂 削っ て 表現 し てる ヤツ ら に 夢 を 託し て そう ゆう 人達 が 豊か に なる 今 の 社会 の なに が 悪い ん だ よ ,1.0
88,汚い 単語 の 使用 は 、 内容 が 正しい 批判 で あっ た として も 、 イカガワシク 感じ させ ます よ 。 ,0.0
89,あんた ら 「 獣 臭い 博多 ラーメン は すべて 禁止 し て 、 マイルド な 味 だけ に しろ 」 と 言う から 嫌わ れ とる ん や で ？ ,0.0
90,酷 すぎる ,1.0
